deriv(dbm(harmonic(spectralPower(((v("net023" ?resultsDir "./psf" ?result "hb_mt_fi") - v("net024" ?resultsDir "./psf" ?result "hb_mt_fi")) / 50) (v("net023" ?resultsDir "./psf" ?result "hb_mt_fi") - v("net024" ?resultsDir "./psf" ?result "hb_mt_fi"))) (-1 2 -1)))) X,deriv(dbm(harmonic(spectralPower(((v("net023" ?resultsDir "./psf" ?result "hb_mt_fi") - v("net024" ?resultsDir "./psf" ?result "hb_mt_fi")) / 50) (v("net023" ?resultsDir "./psf" ?result "hb_mt_fi") - v("net024" ?resultsDir "./psf" ?result "hb_mt_fi"))) (-1 2 -1)))) Y
-29.8,2.412613645987002
-29.6,2.403015881790944
-29.4,2.406077138058828
-29.2,2.404455482899416
-29,2.408914858740738
-28.8,2.413948865285258
-28.6,2.418440186311707
-28.4,2.423088340348834
-28.2,2.427740454310916
-28,2.432386766322318
-27.8,2.43695475936577
-27.6,2.441739337184154
-27.4,2.446157133055743
-27.2,2.450983601722934
-27,2.45606342371091
-26.8,2.461391682184777
-26.6,2.467615540250145
-26.4,2.472909241770048
-26.2,2.478138931956986
-26,2.482972457453494
-25.8,2.488478623197929
-25.6,2.494047126085528
-25.4,2.49975162121185
-25.2,2.505420130052594
-25,2.511313932462977
-24.8,2.517211501313179
-24.6,2.564989155597468
-24.4,2.529170438280594
-24.2,2.535236333032467
-24,2.541350042301369
-23.8,2.547338942138149
-23.6,2.553505364806066
-23.4,2.559835666822713
-23.2,2.566227260235019
-23,2.572677892914835
-22.8,2.579191062604674
-22.6,2.585762612538583
-22.4,2.592305782356624
-22.2,2.598926601296876
-22,2.605719360940109
-21.8,2.612555975898668
-21.6,2.619452716177415
-21.4,2.626375914368742
-21.2,2.633397783880023
-21,2.630333919736439
-20.8,2.647445450163711
-20.6,2.65481229747075
-20.4,2.662194010772472
-20.2,2.669670701779064
-20,2.677251181443419
-19.8,2.684905361708739
-19.6,2.692661069079857
-19.4,2.682489907324769
-19.2,2.709654272031027
-19,2.71777705726799
-18.8,2.725895447492102
-18.6,2.734142315131517
-18.4,2.742527457919795
-18.2,2.751061376996598
-18,2.759755474834701
-17.8,2.768622115592204
-17.6,2.777674708803285
-17.4,2.7869277881361
-17.2,2.796393747806586
-17,2.806089196736404
-16.8,2.81604548851072
-16.6,2.826273336868478
-16.4,2.836795831197735
-16.2,2.890445490003738
-16,2.857651973566401
-15.8,2.86862238658281
-15.6,2.879990257910292
-15.4,2.891809145297951
-15.2,2.904186987376163
-15,2.917201062767784
-14.8,2.930923182850559
-14.6,2.945417162656752
-14.4,2.818668882469392
-14.2,3.11915216624085
-14,2.860446152201642
-13.8,3.015872290296439
-13.6,3.161634963719121
-13.4,3.053751909207858
-13.2,3.074650702893661
-13,3.096885259597653
-12.8,3.120537101307133
-12.6,3.145747353273106
-12.4,3.172674612706115
-12.2,3.201493561447234
-12,3.232395955876311
-11.8,3.265594412062083
-11.6,3.301320186117049
-11.4,3.339830008985925
-11.2,3.381398317624526
-11,3.428509484094503
-10.8,3.475099913918823
-10.6,3.527787165449946
-10.4,3.584852594551306
-10.2,3.646650709458948
-10,3.713540469585666
-9.800000000000001,3.785867436064421
-9.6,3.863945729783375
-9.4,3.948032442303187
-9.199999999999999,4.038295930629211
-9,4.134784304583989
-8.800000000000001,4.237390607714617
-8.6,4.345808443027272
-8.4,4.459482788995873
-8.199999999999999,4.577552523117608
-8,4.698805690011002
-7.8,4.821644875093294
-7.6,4.944077356837151
-7.4,5.066696641767212
-7.2,5.178757477268685
-7,5.284630404887234
-6.8,5.378976045502735
-6.6,5.458786821255681
-6.4,5.521336668971577
-6.2,5.564385704919482
-6,5.586363001890499
-5.8,5.352444182790204
-5.6,5.579439232680906
-5.4,5.514034601179125
-5.2,5.474552044346477
-5,5.395017279126928
