db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "psp")) Y
540000000,-2.700756583623174
540400000,-2.758903908368911
540800000,-2.819693991099645
541200000,-2.883135089186585
541600000,-2.949203927240989
542000000,-3.017838396349976
542400000,-3.08892935235937
542800000,-3.16231159540684
543200000,-3.237754206160365
543600000,-3.314950537411778
544000000,-3.393508314511898
544400000,-3.472940482300363
544800000,-3.552657640928649
545200000,-3.631963120318388
545600000,-3.710051923205108
546000000,-3.786014877009494
546400000,-3.858849320844657
546800000,-3.927477456077087
547200000,-3.990773054011336
547600000,-4.047596514541851
548000000,-4.096837324057987
548400000,-4.137461854670022
548800000,-4.168563338243306
549200000,-4.189409954072247
549600000,-4.199486520422707
550000000,-4.198525461759829
550400000,-4.186523604418415
550800000,-4.163742844313357
551200000,-4.130694586094901
551600000,-4.088109729953223
552000000,-4.036897530017965
552400000,-3.978097606161786
552800000,-3.912829649756204
553200000,-3.842244975569197
553600000,-3.767483210920179
554000000,-3.689636310298483
554400000,-3.609720960742078
554800000,-3.528659467611032
555200000,-3.447268476255125
555600000,-3.366254418575424
556000000,-3.2862143508399
556400000,-3.20764081880358
556800000,-3.130929487951268
557200000,-3.056388454645901
557600000,-2.984248363404533
558000000,-2.914672664890265
558400000,-2.847767539075614
558800000,-2.783591168638514
559200000,-2.72216217606145
559600000,-2.663467135517595
560000000,-2.607467141168849
