db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=0/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=0/psf" ?result "psp")) Y
540000000,-2.836183566336629
540400000,-2.899410266039779
540800000,-2.966062215958395
541200000,-3.036231898141243
541600000,-3.109982874158022
542000000,-3.18734025834631
542400000,-3.268279399282842
542800000,-3.35271266807944
543200000,-3.440474353184103
543600000,-3.531303820227779
544000000,-3.624827327351106
544400000,-3.720539204480464
544800000,-3.817783515260635
545200000,-3.915737814259596
545600000,-4.01340115646094
546000000,-4.109589041675699
546400000,-4.202938368503868
546800000,-4.291925568982639
547200000,-4.374900702345205
547600000,-4.450139219546402
548000000,-4.515911263423926
548400000,-4.57056580491761
548800000,-4.612623943200906
549200000,-4.640872893007909
549600000,-4.65445029985079
550000000,-4.652908283784377
550400000,-4.636248421006218
550800000,-4.604922590312396
551200000,-4.559799505310655
551600000,-4.502101695206632
552000000,-4.433321541370827
552400000,-4.355126946798936
552800000,-4.269267120875178
553200000,-4.177487171701209
553600000,-4.081457420401571
554000000,-3.98272034983826
554400000,-3.882655472499617
554800000,-3.782460482537187
555200000,-3.683145925555899
555600000,-3.585540180474898
556000000,-3.490301617779186
556400000,-3.397935181214403
556800000,-3.308811168579316
557200000,-3.223184541804152
557600000,-3.141213603521085
558000000,-3.062977300786416
558400000,-2.988490746303174
558800000,-2.917718788745058
559200000,-2.850587629582287
559600000,-2.78699458964221
560000000,-2.726816189441305
