db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "psp")) Y
540000000,-7.711971406435079
540200000,-7.856104119119053
540400000,-8.005245296718362
540600000,-8.159633186715224
540800000,-8.319521993479361
541000000,-8.485183393108395
541200000,-8.656908240345228
541400000,-8.835008497839354
541600000,-9.019819423700287
541800000,-9.211702060221016
542000000,-9.411046083164326
542200000,-9.618273027388392
542400000,-9.833840073884572
542600000,-10.05824434825017
542800000,-10.29202794321954
543000000,-10.53578376310842
543200000,-10.79016236573997
543400000,-11.05588001282915
543600000,-11.33372819358726
543800000,-11.62458495631428
544000000,-11.92942847472467
544200000,-12.2493533977522
544400000,-12.58559069508775
544600000,-12.93953193230224
544800000,-13.31275921335303
545000000,-13.70708245064546
545200000,-14.12458621806964
545400000,-14.56768929435107
545600000,-15.03922124394847
545800000,-15.54252222093638
546000000,-16.08157496255275
546200000,-16.66118224315536
546400000,-17.28720988957176
546600000,-17.96692660743528
546800000,-18.70949065264847
547000000,-19.52666619457084
547200000,-20.43391194625416
547400000,-21.4520986462354
547600000,-22.61034188593439
547800000,-23.95093087043122
548000000,-25.53847553295817
548200000,-27.47824467670752
548400000,-29.95616046612397
548600000,-33.32865660233102
548800000,-38.16416775150969
549000000,-41.22740863189215
549200000,-36.31034312789631
549400000,-32.01717866874749
549600000,-28.99943073628543
549800000,-26.72611160053725
550000000,-24.91396440112895
550200000,-23.41157070577371
550400000,-22.13064012252232
550600000,-21.01567849152012
550800000,-20.02967963499648
551000000,-19.14678657038843
551200000,-18.34824293166458
551400000,-17.62002028293276
551600000,-16.95135616146621
551800000,-16.333814753841
552000000,-15.76066162368589
552200000,-15.22643470688773
552400000,-14.72664217696618
552600000,-14.257544761282
552800000,-13.81599573374144
553000000,-13.39932120093343
553200000,-13.00522911025772
553400000,-12.63173910368455
553600000,-12.27712774771174
553800000,-11.93988527239828
554000000,-11.61868104023593
554200000,-11.31233571752987
554400000,-11.01979864920565
554600000,-10.74012931464127
554800000,-10.47248201444921
555000000,-10.21609313751261
555200000,-9.970270505271975
555400000,-9.734384400866684
555600000,-9.507859974394631
555800000,-9.290170779457622
556000000,-9.080833245368646
556200000,-8.879401927645601
556400000,-8.685465409337855
556600000,-8.498642749347455
556800000,-8.318580392639152
557000000,-8.14494947222202
557200000,-7.977443444822605
557400000,-7.815776011919036
557600000,-7.659679285723682
557800000,-7.508902166180915
558000000,-7.363208900369932
558200000,-7.222377800092711
558400000,-7.086200097073578
558600000,-6.954478918224567
558800000,-6.827028365973432
559000000,-6.703672690773177
559200000,-6.58424554471086
559400000,-6.468589306643672
559600000,-6.356554470580877
559800000,-6.247999090120631
560000000,-6.142788272685556
