db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=0/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=0/psf" ?result "psp")) Y
540000000,-6.145843409712848
540200000,-6.25813303338115
540400000,-6.374700393728369
540600000,-6.495749883180224
540800000,-6.621497550112387
541000000,-6.752171874616556
541200000,-6.888014601400392
541400000,-7.029281633292928
541600000,-7.17624397627056
541800000,-7.329188808228579
542000000,-7.48842050798486
542200000,-7.654261853544247
542400000,-7.82705523847513
542600000,-8.007163957354186
542800000,-8.194973540614969
543000000,-8.390893120962803
543200000,-8.595356803311766
543400000,-8.808824995727051
543600000,-9.031785638414968
543800000,-9.26475523898101
544000000,-9.508279581580357
544200000,-9.762933920430067
544400000,-10.0293223876343
544600000,-10.30807623181184
544800000,-10.59985034400691
545000000,-10.9053173016729
545200000,-11.22515784328991
545400000,-11.56004623818725
545600000,-11.91062838768271
545800000,-12.27748961775633
546000000,-12.661107916347
546200000,-13.06178673561971
546400000,-13.47955933953783
546600000,-13.91405402158199
546800000,-14.36430655041984
547000000,-14.8285036243007
547200000,-15.30364066378724
547400000,-15.78508260377763
547600000,-16.2660341949509
547800000,-16.73696716657041
548000000,-17.18512731254366
548200000,-17.59435774913238
548400000,-17.94559358342245
548600000,-18.21840931026334
548800000,-18.39377340223598
549000000,-18.45759181860611
549200000,-18.40391937890071
549400000,-18.23646294256737
549600000,-17.96764063585504
549800000,-17.61566376962001
550000000,-17.20094852152027
550200000,-16.74310555876503
550400000,-16.25910032059394
550600000,-15.76253682185743
550800000,-15.26370885724936
551000000,-14.77004319277389
551200000,-14.28666801806805
551400000,-13.81695943402084
551600000,-13.36300398983334
551800000,-12.92596350553706
552000000,-12.50635070532291
552200000,-12.10423177243497
552400000,-11.71937244486186
552600000,-11.351341991444
552800000,-10.99958644265256
553000000,-10.6634796885602
553200000,-10.34235878827726
553400000,-10.03554808644678
553600000,-9.742375431585145
553800000,-9.462182843734348
554000000,-9.194333297720844
554200000,-8.938214802172386
554400000,-8.69324260892839
554600000,-8.458860142406387
554800000,-8.234539064776149
555000000,-8.019778769662846
555200000,-7.814105509774363
555400000,-7.61707130190335
555600000,-7.428252708790096
555800000,-7.247249566158866
556000000,-7.073683701140057
556200000,-6.907197672677623
556400000,-6.747453553512386
556600000,-6.594131765628831
556800000,-6.446929975689962
557000000,-6.305562053307806
557200000,-6.169757092507893
557400000,-6.039258495107156
557600000,-5.913823113684799
557800000,-5.79322045120282
558000000,-5.677231914006987
558200000,-5.565650114808152
558400000,-5.458278222252097
558600000,-5.354929353778555
558800000,-5.255426008618366
559000000,-5.15959953795927
559200000,-5.067289649505666
559400000,-4.978343943856357
559600000,-4.892617480322766
559800000,-4.809972370000396
560000000,-4.730277394082205
